-2.285;0.849
-0.688;-0.530
2.226;-0.897
0.858;0.462
-2.152;0.939
-1.031;-0.395
2.052;-0.983
1.174;0.322
-1.965;0.999
-1.330;-0.259
1.868;-1.029
1.463;0.194
-1.740;1.046
-1.618;-0.114
1.618;-1.069
1.722;0.041
-1.474;1.065
-1.860;0.036
1.339;-1.065
1.955;-0.100
-1.192;1.064
-2.054;0.170
1.035;-1.057
2.140;-0.258
-0.870;1.037
-2.220;0.326
0.701;-1.021
2.278;-0.390
-0.532;0.995
-2.344;0.461
0.357;-0.963
2.372;-0.533
-0.173;0.927
-2.387;0.589
0.004;-0.886
2.387;-0.638
0.165;0.833
-2.401;0.688
-0.360;-0.792
2.394;-0.760
0.526;0.735
-2.358;0.797
-0.693;-0.668
2.320;-0.843
0.865;0.607
-2.272;0.870
-1.042;-0.546
2.208;-0.916
1.187;0.474
-2.118;0.936
-1.334;-0.404
2.041;-0.963
1.465;0.324
-1.935;0.968
-1.625;-0.265
1.834;-0.998
1.735;0.176
-1.704;0.995
-1.863;-0.094
1.569;-0.997
1.954;0.019
-1.444;0.988
-2.058;0.062
1.288;-0.983
